from,to,open,close,min,max,volume
1730307360,1730307480,166.2565,166.275,166.2435,166.284,766
1730307480,1730307600,166.2735,166.27,166.2655,166.2905,639
1730307600,1730307720,166.271,166.3105,166.262,166.313,644
1730307720,1730307840,166.31,166.2975,166.282,166.3395,731
1730307840,1730307960,166.298,166.352,166.297,166.3615,628
1730307960,1730308080,166.3525,166.3185,166.316,166.374,479
1730308080,1730308200,166.316,166.298,166.288,166.33,592
1730308200,1730308320,166.2975,166.328,166.289,166.331,638
1730308320,1730308440,166.3275,166.377,166.327,166.381,582
1730308440,1730308560,166.376,166.348,166.347,166.3775,625
1730308560,1730308680,166.3475,166.358,166.341,166.3625,533
1730308680,1730308800,166.3585,166.3765,166.3545,166.3795,490
1730308800,1730308920,166.3775,166.3935,166.375,166.3995,537
1730308920,1730309040,166.393,166.378,166.37,166.4115,553
1730309040,1730309160,166.3785,166.406,166.3725,166.4075,468
1730309160,1730309280,166.4055,166.462,166.3825,166.464,703
1730309280,1730309400,166.4625,166.492,166.4615,166.495,784
1730309400,1730309520,166.4915,166.464,166.4265,166.492,743
1730309520,1730309640,166.468,166.473,166.468,166.4995,510
1730309640,1730309760,166.472,166.4955,166.455,166.499,646
1730309760,1730309880,166.495,166.484,166.4685,166.501,579
1730309880,1730310000,166.4845,166.4575,166.4285,166.485,528
1730310000,1730310120,166.4595,166.4615,166.4275,166.4615,531
1730310120,1730310240,166.461,166.4725,166.4525,166.49,553
1730310240,1730310360,166.473,166.473,166.472,166.4915,514
1730310360,1730310480,166.4775,166.5245,166.474,166.533,529
1730310480,1730310600,166.5245,166.504,166.4855,166.5305,444
1730310600,1730310720,166.504,166.498,166.483,166.518,451
1730310720,1730310840,166.499,166.4845,166.4755,166.5055,497
1730310840,1730310960,166.485,166.4795,166.4735,166.4905,472
1730310960,1730311080,166.4795,166.4975,166.4785,166.502,506
1730311080,1730311200,166.497,166.5005,166.493,166.515,462
1730311200,1730311320,166.5015,166.4975,166.487,166.521,644
1730311320,1730311440,166.4975,166.503,166.495,166.514,475
1730311440,1730311560,166.5035,166.5,166.496,166.5195,425
1730311560,1730311680,166.5005,166.49,166.474,166.5045,527
1730311680,1730311800,166.4885,166.492,166.4755,166.495,629
1730311800,1730311920,166.4915,166.5235,166.4695,166.526,535
1730311920,1730312040,166.524,166.503,166.503,166.528,435
1730312040,1730312160,166.5035,166.5075,166.4905,166.5155,438
1730312160,1730312280,166.508,166.52,166.5045,166.532,548
1730312280,1730312400,166.52,166.5215,166.493,166.5395,489
1730312400,1730312520,166.5225,166.5295,166.5105,166.5295,350
1730312520,1730312640,166.531,166.507,166.507,166.536,391
1730312640,1730312760,166.507,166.5075,166.499,166.5165,407
1730312760,1730312880,166.507,166.496,166.4895,166.5165,457
1730312880,1730313000,166.496,166.5225,166.4875,166.5275,441
1730313000,1730313120,166.523,166.5175,166.5035,166.524,394
1730313120,1730313240,166.5185,166.5535,166.509,166.5545,420
1730313240,1730313360,166.5535,166.5555,166.5375,166.557,424
1730313360,1730313480,166.5565,166.5565,166.549,166.5645,290
1730313480,1730313600,166.557,166.5205,166.519,166.557,341
1730313600,1730313720,166.5215,166.5335,166.5185,166.5425,431
1730313720,1730313840,166.5335,166.5295,166.523,166.551,400
1730313840,1730313960,166.53,166.5655,166.529,166.5675,332
1730313960,1730314080,166.5655,166.5855,166.557,166.5855,309
1730314080,1730314200,166.5855,166.5765,166.568,166.5905,332
1730314200,1730314320,166.578,166.5605,166.555,166.585,322
1730314320,1730314440,166.56,166.5625,166.5565,166.573,309
1730314440,1730314560,166.5625,166.556,166.549,166.575,336
1730314560,1730314680,166.5565,166.562,166.552,166.5675,454
1730314680,1730314800,166.562,166.565,166.556,166.577,499
1730314800,1730314920,166.566,166.5615,166.5435,166.5735,538
1730314920,1730315040,166.561,166.5565,166.5455,166.5755,625
1730315040,1730315160,166.556,166.5495,166.548,166.5695,566
1730315160,1730315280,166.549,166.583,166.5425,166.588,513
1730315280,1730315400,166.583,166.588,166.5695,166.595,439
1730315400,1730315520,166.5895,166.572,166.571,166.5945,493
1730315520,1730315640,166.569,166.573,166.5575,166.581,392
1730315640,1730315760,166.573,166.5695,166.5685,166.59,347
1730315760,1730315880,166.57,166.5625,166.5495,166.5725,380
1730315880,1730316000,166.563,166.573,166.5615,166.58,312
1730316000,1730316120,166.5725,166.5745,166.5665,166.5825,338
1730316120,1730316240,166.574,166.5885,166.5615,166.5915,353
1730316240,1730316360,166.588,166.5755,166.5705,166.591,390
1730316360,1730316480,166.575,166.569,166.567,166.5865,320
1730316480,1730316600,166.5695,166.5725,166.5665,166.579,351
1730316600,1730316720,166.572,166.573,166.559,166.5785,349
1730316720,1730316840,166.5735,166.555,166.553,166.582,293
1730316840,1730316960,166.5545,166.528,166.521,166.558,354
1730316960,1730317080,166.5285,166.5155,166.5,166.531,442
1730317080,1730317200,166.516,166.554,166.5155,166.558,628
1730317200,1730317320,166.5545,166.5545,166.5525,166.579,550
1730317320,1730317440,166.555,166.541,166.5355,166.557,386
1730317440,1730317560,166.5405,166.546,166.5355,166.5525,367
1730317560,1730317680,166.544,166.542,166.534,166.551,235
1730317680,1730317800,166.542,166.5495,166.538,166.566,206
