from,to,open,close,min,max,volume
1726605960,1726606080,187.4,187.3885,187.3825,187.411,103
1726606080,1726606200,187.3885,187.427,187.3785,187.4555,216
1726606200,1726606320,187.4275,187.421,187.4205,187.442,315
1726606320,1726606440,187.421,187.3805,187.3805,187.4215,137
1726606440,1726606560,187.3805,187.363,187.351,187.3895,318
1726606560,1726606680,187.3635,187.368,187.3515,187.376,769
1726606680,1726606800,187.3665,187.423,187.3665,187.4565,899
1726606800,1726606920,187.423,187.423,187.423,187.423,0
1726606920,1726607040,187.423,187.384,187.384,187.423,10
1726607040,1726607160,187.3865,187.3745,187.3745,187.3875,19
1726607160,1726607280,187.3745,187.3965,187.3705,187.397,42
1726607280,1726607400,187.396,187.3935,187.392,187.399,22
1726607400,1726607520,187.3925,187.328,187.328,187.4055,121
1726607520,1726607640,187.3285,187.342,187.309,187.3435,86
1726607640,1726607760,187.3415,187.4035,187.3275,187.405,127
1726607760,1726607880,187.4035,187.433,187.4035,187.448,75
1726607880,1726608000,187.433,187.42,187.4175,187.4435,41
1726608000,1726608120,187.42,187.4255,187.4195,187.426,19
1726608120,1726608240,187.4255,187.427,187.416,187.427,17
1726608240,1726608360,187.427,187.414,187.411,187.4305,15
1726608360,1726608480,187.414,187.3955,187.3955,187.414,20
1726608480,1726608600,187.396,187.39,187.3785,187.4005,50
1726608600,1726608720,187.3835,187.3775,187.36,187.387,78
1726608720,1726608840,187.3775,187.365,187.3545,187.3785,91
1726608840,1726608960,187.365,187.3495,187.349,187.372,203
1726608960,1726609080,187.3495,187.35,187.3445,187.3565,38
1726609080,1726609200,187.3505,187.337,187.3305,187.353,43
1726609200,1726609320,187.337,187.3455,187.337,187.3475,5
1726609320,1726609440,187.3455,187.355,187.3455,187.3625,28
1726609440,1726609560,187.355,187.367,187.354,187.367,41
1726609560,1726609680,187.367,187.3595,187.3535,187.368,57
1726609680,1726609800,187.3595,187.346,187.3435,187.361,50
1726609800,1726609920,187.3465,187.349,187.3455,187.3725,199
1726609920,1726610040,187.3495,187.353,187.342,187.3605,64
1726610040,1726610160,187.3515,187.355,187.3425,187.3655,116
1726610160,1726610280,187.3545,187.352,187.3495,187.3555,25
1726610280,1726610400,187.352,187.354,187.348,187.3625,87
1726610400,1726610520,187.374,187.3175,187.3175,187.374,125
1726610520,1726610640,187.3175,187.3125,187.3125,187.3175,3
